
Experiment #1 begin 
- freq    = 3.00 Hz
- rho_int = 700.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	y_int	U_int	U_bed
9.50	256	0.12	-0.00	0.011	0.469
9.60	175	0.14	-0.00	0.019	0.581
9.70	168	0.13	-0.01	0.008	0.465
9.80	252	0.11	-0.00	0.007	0.423
9.90	229	0.13	-0.00	0.018	0.566
10.00	130	0.13	-0.01	0.013	0.520
10.10	254	0.11	-0.01	0.004	0.390
10.20	259	0.13	-0.00	0.015	0.525
10.30	106	0.14	-0.00	0.017	0.564
10.40	220	0.12	-0.00	0.005	0.406
10.50	257	0.12	-0.00	0.011	0.471
10.60	168	0.14	-0.00	0.019	0.581
10.70	155	0.13	-0.00	0.008	0.464
10.80	276	0.12	-0.00	0.007	0.421
10.90	241	0.13	-0.00	0.018	0.565
11.00	125	0.14	-0.01	0.013	0.513
11.10	240	0.11	-0.01	0.004	0.394
11.20	244	0.12	-0.00	0.015	0.526
11.30	117	0.14	-0.01	0.017	0.564
11.40	239	0.11	-0.01	0.005	0.401
11.50	266	0.12	-0.00	0.011	0.468
11.60	121	0.14	-0.01	0.019	0.584
11.70	175	0.13	-0.00	0.008	0.460
11.80	255	0.12	-0.00	0.007	0.420
11.90	230	0.13	-0.00	0.018	0.565
12.00	113	0.14	-0.01	0.013	0.517
12.10	240	0.11	-0.01	0.004	0.393
12.20	257	0.12	-0.00	0.015	0.526
12.30	133	0.15	-0.01	0.017	0.566
12.40	247	0.12	-0.01	0.005	0.406
12.50	262	0.12	-0.00	0.011	0.472
12.60	172	0.14	-0.01	0.019	0.584
12.70	175	0.13	-0.00	0.008	0.460
12.80	265	0.11	-0.00	0.007	0.422
12.90	238	0.13	-0.00	0.018	0.565
13.00	128	0.13	-0.00	0.013	0.512
13.10	239	0.11	-0.00	0.004	0.393
13.20	256	0.13	-0.00	0.015	0.524
13.30	108	0.14	-0.01	0.017	0.564
13.40	233	0.11	-0.01	0.005	0.402
13.50	264	0.12	-0.00	0.011	0.469
13.60	149	0.14	-0.01	0.019	0.583
13.70	155	0.13	-0.00	0.008	0.464
13.80	287	0.12	-0.00	0.007	0.420
13.90	243	0.13	-0.00	0.018	0.565
14.00	121	0.14	-0.01	0.013	0.514
14.10	247	0.11	-0.01	0.004	0.393
14.20	252	0.12	-0.00	0.015	0.526
14.30	144	0.14	-0.01	0.017	0.565
14.40	227	0.11	-0.01	0.005	0.406
14.50	259	0.12	-0.00	0.011	0.470
14.60	159	0.14	-0.01	0.019	0.581
14.70	151	0.13	-0.00	0.008	0.462
14.80	273	0.11	-0.00	0.007	0.422
14.90	242	0.13	-0.00	0.018	0.566
15.00	119	0.14	-0.01	0.013	0.512
15.10	253	0.12	-0.00	0.004	0.392
15.20	242	0.13	-0.00	0.015	0.526
15.30	98	0.14	-0.01	0.017	0.564
15.40	236	0.12	-0.01	0.005	0.401
15.50	277	0.12	-0.00	0.011	0.468
15.60	101	0.14	-0.01	0.019	0.585
15.70	167	0.13	-0.01	0.008	0.462
15.80	260	0.12	-0.00	0.007	0.419
15.90	232	0.13	-0.00	0.018	0.565
16.00	102	0.14	-0.00	0.013	0.517
16.10	252	0.12	-0.00	0.004	0.388
16.20	274	0.13	-0.00	0.015	0.525
16.30	81	0.15	-0.01	0.017	0.566
16.40	222	0.12	-0.00	0.005	0.405
16.50	253	0.12	-0.00	0.011	0.471
16.60	160	0.15	-0.00	0.019	0.581
16.70	167	0.14	-0.00	0.009	0.462
16.80	281	0.12	-0.00	0.007	0.421
16.90	243	0.13	-0.00	0.018	0.565
17.00	114	0.14	-0.01	0.013	0.513
17.10	244	0.12	-0.01	0.004	0.392
17.20	239	0.13	-0.00	0.015	0.527
17.30	116	0.14	-0.01	0.017	0.563
17.40	251	0.12	-0.01	0.005	0.398
17.50	265	0.12	-0.00	0.011	0.468
17.60	145	0.14	-0.01	0.019	0.584
17.70	160	0.13	-0.01	0.008	0.463
17.80	269	0.12	-0.00	0.007	0.420
17.90	238	0.13	-0.00	0.018	0.566
18.00	106	0.14	-0.01	0.013	0.513
18.10	245	0.13	-0.00	0.012	0.483
18.20	257	0.12	-0.00	0.011	0.479
18.30	257	0.12	-0.00	0.011	0.479
18.40	251	0.12	-0.00	0.011	0.479
18.50	258	0.12	-0.00	0.011	0.479
18.60	261	0.12	-0.00	0.011	0.479
18.70	264	0.12	0.00	0.011	0.479
18.80	261	0.12	0.00	0.011	0.479
18.90	255	0.12	0.00	0.011	0.479

Experiment #2 begin 
- freq    = 3.00 Hz
- rho_int = 800.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	y_int	U_int	U_bed
1.10	237	0.10	0.00	0.005	0.406
1.20	242	0.12	0.00	0.017	0.533
1.30	112	0.11	0.00	0.017	0.564
1.40	210	0.10	0.00	0.005	0.417
1.50	248	0.11	0.00	0.012	0.476
1.60	60	0.11	-0.00	0.020	0.584
1.70	149	0.11	0.00	0.008	0.457
1.80	240	0.11	0.00	0.007	0.422
1.90	205	0.12	0.00	0.020	0.570
2.00	184	0.11	0.01	0.013	0.509
2.10	243	0.11	0.01	0.005	0.395
2.20	258	0.12	0.00	0.017	0.528
2.30	81	0.12	0.00	0.018	0.563
2.40	227	0.11	0.00	0.005	0.412
2.50	265	0.12	0.00	0.012	0.472
2.60	211	0.12	-0.00	0.021	0.584
2.70	158	0.11	-0.00	0.008	0.470
2.80	276	0.12	-0.00	0.008	0.419
2.90	238	0.12	-0.00	0.020	0.568
3.00	119	0.12	-0.00	0.014	0.526
3.10	275	0.11	-0.00	0.005	0.395
3.20	253	0.12	-0.00	0.017	0.529
3.30	129	0.13	-0.01	0.019	0.565
3.40	221	0.11	-0.00	0.005	0.419
3.50	264	0.11	-0.00	0.012	0.473
3.60	175	0.12	-0.00	0.021	0.584
3.70	156	0.12	-0.00	0.009	0.469
3.80	272	0.12	-0.00	0.008	0.420
3.90	240	0.12	-0.00	0.020	0.570
4.00	136	0.12	-0.00	0.014	0.523
4.10	259	0.11	-0.00	0.005	0.398
4.20	246	0.12	-0.00	0.017	0.528
4.30	86	0.13	-0.01	0.019	0.567
4.40	210	0.11	-0.00	0.005	0.418
4.50	267	0.12	-0.00	0.012	0.472
4.60	200	0.13	-0.00	0.022	0.584
4.70	160	0.12	-0.00	0.009	0.465
4.80	276	0.12	-0.00	0.008	0.422
4.90	220	0.13	-0.00	0.021	0.573
5.00	140	0.13	-0.01	0.014	0.519
5.10	251	0.11	-0.00	0.005	0.394
5.20	252	0.12	-0.00	0.017	0.527
5.30	112	0.14	-0.01	0.019	0.562
5.40	223	0.11	-0.00	0.005	0.410
5.50	277	0.12	-0.00	0.012	0.471
5.60	112	0.13	-0.01	0.022	0.584
5.70	159	0.13	-0.01	0.009	0.463
5.80	264	0.11	-0.00	0.008	0.426
5.90	237	0.13	-0.00	0.021	0.568
6.00	118	0.13	-0.01	0.015	0.516
6.10	252	0.12	-0.01	0.005	0.392
6.20	263	0.13	-0.01	0.018	0.529
6.30	79	0.14	-0.01	0.020	0.565
6.40	237	0.12	-0.01	0.006	0.412
6.50	267	0.12	-0.01	0.012	0.473
6.60	84	0.14	-0.01	0.022	0.584
6.70	197	0.13	-0.01	0.010	0.463
6.80	256	0.11	-0.01	0.008	0.422
6.90	236	0.14	-0.01	0.021	0.570
7.00	81	0.14	-0.01	0.015	0.521
7.10	259	0.12	-0.01	0.005	0.389
7.20	242	0.13	-0.01	0.018	0.529
7.30	97	0.16	-0.01	0.021	0.562
7.40	224	0.14	-0.01	0.007	0.412
7.50	265	0.12	-0.01	0.013	0.476
7.60	162	0.15	-0.01	0.022	0.581
7.70	185	0.14	-0.01	0.010	0.453
7.80	269	0.12	-0.01	0.008	0.421
7.90	225	0.14	-0.01	0.022	0.570
8.00	146	0.15	-0.01	0.015	0.515
8.10	246	0.12	-0.01	0.005	0.390
8.20	246	0.13	-0.01	0.018	0.527
8.30	92	0.15	-0.01	0.021	0.561
8.40	223	0.14	-0.01	0.007	0.407
8.50	264	0.12	-0.01	0.013	0.473
8.60	170	0.15	-0.01	0.023	0.582
8.70	182	0.14	-0.01	0.010	0.461
8.80	269	0.12	-0.01	0.008	0.421
8.90	222	0.14	-0.01	0.022	0.570
9.00	163	0.14	-0.01	0.015	0.515
9.10	246	0.12	-0.01	0.005	0.389
9.20	242	0.13	-0.00	0.018	0.529
9.30	93	0.15	-0.01	0.020	0.560
9.40	261	0.13	-0.01	0.006	0.405
9.50	258	0.12	-0.00	0.013	0.471
9.60	167	0.14	-0.01	0.022	0.581
9.70	191	0.14	-0.01	0.010	0.456
9.80	260	0.12	-0.01	0.008	0.422
9.90	233	0.14	-0.01	0.021	0.568
10.00	115	0.14	-0.01	0.015	0.514
10.10	266	0.12	-0.01	0.005	0.391
10.20	234	0.13	-0.00	0.018	0.528
10.30	115	0.14	-0.01	0.020	0.558
10.40	263	0.13	-0.01	0.006	0.407
10.50	276	0.12	-0.00	0.012	0.472
10.60	158	0.14	-0.01	0.022	0.580
10.70	209	0.14	-0.01	0.010	0.457
10.80	263	0.12	-0.00	0.008	0.422
10.90	219	0.14	-0.01	0.021	0.569
11.00	116	0.14	-0.01	0.015	0.512
11.10	257	0.12	-0.01	0.005	0.391
11.20	250	0.13	-0.00	0.017	0.528
11.30	116	0.14	-0.01	0.020	0.558
11.40	243	0.13	-0.01	0.006	0.407
11.50	275	0.12	-0.00	0.012	0.473
11.60	149	0.14	-0.01	0.022	0.580
11.70	194	0.14	-0.01	0.010	0.456
11.80	265	0.12	-0.01	0.008	0.422
11.90	232	0.14	-0.01	0.021	0.568
12.00	108	0.14	-0.01	0.015	0.513
12.10	262	0.12	-0.01	0.005	0.391
12.20	234	0.13	-0.00	0.017	0.528
12.30	106	0.14	-0.01	0.020	0.558
12.40	250	0.13	-0.01	0.006	0.408
12.50	280	0.12	-0.00	0.012	0.472
12.60	160	0.14	-0.01	0.022	0.580
12.70	199	0.13	-0.01	0.010	0.456
12.80	261	0.12	-0.00	0.008	0.423
12.90	226	0.14	-0.00	0.021	0.569
13.00	125	0.14	-0.01	0.015	0.513
13.10	258	0.12	-0.01	0.005	0.390
13.20	246	0.13	-0.00	0.017	0.528
13.30	116	0.14	-0.01	0.020	0.558
13.40	260	0.13	-0.01	0.006	0.407
13.50	276	0.12	-0.00	0.012	0.472
13.60	172	0.14	-0.01	0.022	0.580
13.70	181	0.14	-0.01	0.010	0.457
13.80	262	0.12	-0.00	0.008	0.423
13.90	221	0.13	-0.00	0.021	0.569
14.00	123	0.14	-0.01	0.015	0.515
14.10	260	0.11	-0.01	0.005	0.390
14.20	245	0.13	-0.00	0.017	0.528
14.30	117	0.14	-0.01	0.020	0.559
14.40	240	0.13	-0.01	0.006	0.409
14.50	285	0.12	-0.00	0.012	0.472
14.60	156	0.14	-0.01	0.022	0.581
14.70	186	0.13	-0.01	0.010	0.457
14.80	268	0.12	-0.00	0.008	0.422
14.90	230	0.14	-0.01	0.021	0.568
15.00	113	0.14	-0.01	0.015	0.514
15.10	257	0.12	-0.01	0.005	0.392
15.20	239	0.13	-0.00	0.017	0.527
15.30	113	0.14	-0.01	0.020	0.558
15.40	257	0.13	-0.01	0.006	0.408
15.50	277	0.12	-0.00	0.012	0.472
15.60	157	0.14	-0.01	0.022	0.580
15.70	203	0.14	-0.01	0.010	0.456
15.80	259	0.12	-0.00	0.008	0.423
15.90	221	0.13	-0.00	0.021	0.569
16.00	123	0.14	-0.01	0.015	0.513
16.10	259	0.12	-0.01	0.005	0.390
16.20	248	0.13	-0.00	0.017	0.528
16.30	126	0.14	-0.01	0.020	0.558
16.40	259	0.13	-0.01	0.006	0.407
16.50	281	0.12	-0.00	0.012	0.472
16.60	161	0.14	-0.01	0.022	0.580
16.70	204	0.14	-0.01	0.010	0.458
16.80	265	0.12	-0.00	0.008	0.423
16.90	222	0.13	-0.00	0.021	0.570
17.00	112	0.14	-0.01	0.015	0.514
17.10	263	0.12	-0.01	0.005	0.391
17.20	236	0.13	-0.00	0.017	0.528
17.30	108	0.14	-0.01	0.020	0.558
17.40	244	0.13	-0.01	0.006	0.408
17.50	273	0.12	-0.00	0.012	0.472
17.60	162	0.14	-0.01	0.022	0.580
17.70	191	0.14	-0.01	0.010	0.456
17.80	271	0.12	-0.00	0.008	0.423
17.90	232	0.13	-0.00	0.021	0.569
18.00	103	0.14	-0.01	0.015	0.515
18.10	233	0.12	-0.00	0.013	0.484
18.20	254	0.13	-0.01	0.013	0.480
18.30	261	0.13	-0.01	0.013	0.480
18.40	270	0.13	-0.01	0.014	0.480
18.50	278	0.13	-0.01	0.014	0.480
18.60	288	0.13	-0.01	0.014	0.480
18.70	279	0.13	-0.01	0.014	0.480
18.80	285	0.13	-0.01	0.014	0.480
18.90	282	0.13	-0.01	0.014	0.480

Experiment #3 begin 
- freq    = 3.00 Hz
- rho_int = 900.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	y_int	U_int	U_bed
1.10	244	0.10	0.01	0.005	0.408
1.20	248	0.12	0.01	0.019	0.535
1.30	161	0.12	0.01	0.020	0.559
1.40	223	0.10	0.01	0.006	0.426
1.50	256	0.12	0.01	0.014	0.479
1.60	112	0.12	0.00	0.023	0.594
1.70	106	0.11	0.00	0.009	0.460
1.80	258	0.12	0.00	0.009	0.427
1.90	210	0.12	0.00	0.023	0.580
2.00	133	0.11	0.00	0.014	0.518
2.10	246	0.11	0.00	0.005	0.398
2.20	227	0.12	0.00	0.019	0.533
2.30	89	0.13	0.00	0.021	0.572
2.40	203	0.11	0.00	0.006	0.418
2.50	251	0.12	0.00	0.014	0.472
2.60	139	0.13	-0.00	0.024	0.595
2.70	146	0.12	-0.00	0.010	0.473
2.80	243	0.12	0.00	0.009	0.419
2.90	216	0.13	-0.00	0.024	0.573
3.00	134	0.13	-0.01	0.017	0.525
3.10	240	0.11	-0.01	0.006	0.394
3.20	242	0.12	-0.01	0.019	0.531
3.30	128	0.15	-0.01	0.023	0.564
3.40	201	0.11	-0.01	0.006	0.416
3.50	259	0.12	-0.00	0.014	0.475
3.60	212	0.13	-0.01	0.024	0.578
3.70	152	0.13	-0.01	0.011	0.469
3.80	259	0.11	-0.00	0.009	0.422
3.90	211	0.12	-0.00	0.023	0.568
4.00	162	0.13	-0.00	0.015	0.515
4.10	235	0.11	-0.00	0.005	0.395
4.20	249	0.12	-0.00	0.019	0.530
4.30	147	0.14	-0.00	0.021	0.558
4.40	183	0.11	-0.00	0.006	0.413
4.50	282	0.12	-0.00	0.014	0.471
4.60	187	0.13	-0.00	0.024	0.579
4.70	115	0.11	-0.00	0.009	0.464
4.80	271	0.12	-0.00	0.009	0.421
4.90	196	0.13	-0.00	0.023	0.570
5.00	163	0.13	-0.00	0.015	0.517
5.10	239	0.11	-0.00	0.005	0.395
5.20	255	0.12	-0.00	0.019	0.530
5.30	164	0.13	-0.00	0.021	0.558
5.40	170	0.11	-0.00	0.006	0.411
5.50	277	0.12	-0.00	0.014	0.471
5.60	171	0.13	-0.00	0.024	0.579
5.70	157	0.11	-0.00	0.009	0.464
5.80	271	0.11	-0.00	0.009	0.421
5.90	194	0.12	-0.00	0.023	0.569
6.00	168	0.13	-0.00	0.015	0.516
6.10	261	0.11	-0.00	0.005	0.389
6.20	255	0.12	-0.00	0.019	0.530
6.30	142	0.14	-0.00	0.021	0.557
6.40	192	0.11	-0.00	0.006	0.412
6.50	278	0.12	-0.00	0.014	0.471
6.60	183	0.13	-0.00	0.024	0.578
6.70	149	0.11	-0.00	0.009	0.465
6.80	268	0.11	-0.00	0.009	0.421
6.90	208	0.12	-0.00	0.023	0.570
7.00	167	0.13	-0.00	0.015	0.516
7.10	252	0.11	-0.00	0.005	0.390
7.20	256	0.12	-0.00	0.019	0.530
7.30	142	0.14	-0.00	0.021	0.558
7.40	192	0.11	-0.00	0.006	0.413
7.50	284	0.12	-0.00	0.014	0.471
7.60	174	0.13	-0.00	0.024	0.579
7.70	129	0.11	-0.00	0.009	0.466
7.80	270	0.11	-0.00	0.009	0.421
7.90	199	0.13	-0.00	0.023	0.569
8.00	173	0.13	-0.00	0.015	0.516
8.10	227	0.11	-0.00	0.005	0.395
8.20	259	0.12	-0.00	0.019	0.529
8.30	159	0.13	-0.00	0.021	0.558
8.40	193	0.11	-0.00	0.006	0.408
8.50	273	0.12	-0.00	0.014	0.471
8.60	186	0.14	-0.00	0.024	0.578
8.70	159	0.12	-0.00	0.009	0.463
8.80	265	0.11	-0.00	0.009	0.421
8.90	204	0.13	-0.00	0.023	0.568
9.00	167	0.13	-0.00	0.015	0.515
9.10	244	0.11	-0.00	0.005	0.395
9.20	261	0.12	-0.00	0.019	0.529
9.30	158	0.13	-0.00	0.021	0.558
9.40	177	0.11	-0.00	0.006	0.409
9.50	284	0.12	-0.00	0.014	0.471
9.60	181	0.14	-0.00	0.024	0.578
9.70	152	0.11	-0.00	0.009	0.463
9.80	271	0.11	-0.00	0.009	0.422
9.90	198	0.13	-0.00	0.023	0.568
10.00	161	0.13	-0.00	0.015	0.515
10.10	240	0.11	-0.00	0.005	0.393
10.20	262	0.12	-0.00	0.019	0.530
10.30	161	0.14	-0.00	0.021	0.558
10.40	165	0.11	-0.00	0.006	0.409
10.50	282	0.12	-0.00	0.014	0.471
10.60	186	0.14	-0.00	0.024	0.578
10.70	147	0.12	-0.00	0.009	0.465
10.80	265	0.11	-0.00	0.009	0.421
10.90	198	0.12	-0.00	0.023	0.570
11.00	171	0.13	-0.00	0.015	0.517
11.10	248	0.11	-0.00	0.005	0.393
11.20	255	0.12	-0.00	0.019	0.530
11.30	164	0.14	-0.00	0.021	0.557
11.40	187	0.11	-0.00	0.006	0.412
11.50	285	0.12	-0.00	0.014	0.471
11.60	166	0.13	-0.00	0.024	0.579
11.70	135	0.11	-0.00	0.009	0.466
11.80	273	0.11	-0.00	0.009	0.421
11.90	183	0.12	-0.00	0.023	0.569
12.00	171	0.13	-0.00	0.015	0.517
12.10	238	0.11	-0.00	0.005	0.394
12.20	255	0.12	-0.00	0.019	0.529
12.30	164	0.13	-0.00	0.021	0.558
12.40	169	0.11	-0.00	0.006	0.408
12.50	281	0.12	-0.00	0.014	0.471
12.60	179	0.14	-0.00	0.024	0.578
12.70	156	0.11	-0.00	0.009	0.462
12.80	266	0.11	-0.00	0.009	0.421
12.90	208	0.13	-0.00	0.023	0.569
13.00	154	0.13	-0.00	0.015	0.516
13.10	252	0.11	-0.00	0.005	0.392
13.20	253	0.12	-0.00	0.019	0.530
13.30	163	0.14	-0.00	0.021	0.557
13.40	189	0.11	-0.00	0.006	0.413
13.50	277	0.12	-0.00	0.014	0.471
13.60	182	0.13	-0.00	0.024	0.579
13.70	95	0.11	-0.00	0.009	0.464
13.80	267	0.11	-0.00	0.009	0.422
13.90	202	0.13	-0.00	0.023	0.569
14.00	164	0.13	-0.00	0.015	0.516
14.10	232	0.11	-0.00	0.005	0.394
14.20	252	0.12	-0.00	0.019	0.530
14.30	158	0.13	-0.00	0.021	0.558
14.40	170	0.11	-0.00	0.006	0.411
14.50	278	0.12	-0.00	0.014	0.471
14.60	183	0.13	-0.00	0.024	0.579
14.70	138	0.11	-0.00	0.009	0.465
14.80	274	0.11	-0.00	0.009	0.421
14.90	195	0.13	-0.00	0.023	0.569
15.00	168	0.13	-0.00	0.015	0.517
15.10	238	0.11	-0.00	0.005	0.393
15.20	253	0.12	-0.00	0.019	0.530
15.30	162	0.13	-0.00	0.021	0.558
15.40	173	0.11	-0.00	0.006	0.413
15.50	279	0.12	-0.00	0.014	0.471
15.60	181	0.13	-0.00	0.024	0.578
15.70	156	0.11	-0.00	0.009	0.464
15.80	268	0.11	-0.00	0.009	0.421
15.90	182	0.12	-0.00	0.023	0.569
16.00	165	0.13	-0.00	0.015	0.517
16.10	258	0.11	-0.00	0.005	0.391
16.20	254	0.12	-0.00	0.019	0.530
16.30	165	0.14	-0.00	0.021	0.557
16.40	185	0.11	-0.00	0.006	0.412
16.50	282	0.12	-0.00	0.014	0.471
16.60	180	0.13	-0.00	0.024	0.579
16.70	143	0.12	-0.00	0.009	0.466
16.80	274	0.11	-0.00	0.009	0.421
16.90	192	0.13	-0.00	0.023	0.569
17.00	177	0.13	-0.00	0.015	0.516
17.10	242	0.11	-0.00	0.005	0.393
17.20	260	0.12	-0.00	0.019	0.530
17.30	159	0.14	-0.00	0.021	0.558
17.40	181	0.11	-0.00	0.006	0.411
17.50	281	0.12	-0.00	0.014	0.471
17.60	175	0.13	-0.00	0.024	0.578
17.70	149	0.11	-0.00	0.009	0.464
17.80	272	0.11	-0.00	0.009	0.421
17.90	185	0.13	-0.00	0.023	0.569
18.00	168	0.13	-0.00	0.015	0.517
18.10	252	0.11	-0.00	0.014	0.484
18.20	279	0.12	-0.00	0.014	0.481
18.30	288	0.12	-0.00	0.014	0.481
18.40	279	0.12	-0.00	0.014	0.481
18.50	282	0.12	-0.00	0.014	0.481
18.60	276	0.12	-0.00	0.014	0.481
18.70	276	0.12	-0.00	0.014	0.481
18.80	274	0.12	-0.00	0.014	0.481
18.90	270	0.12	-0.00	0.014	0.481
